Ticker,Date,AUM_USD,AvgVolume
IWD,2026-04-08,69788860416,4002885
IWF,2026-04-08,111773540352,3344770
IWN,2026-04-08,12460733440,827471
IWO,2026-04-08,12166946816,517840
EFA,2026-04-08,71451205632,24217528
SCZ,2026-04-08,13434171392,1928588
EEM,2026-04-08,24905633792,46233276
TIP,2026-04-08,13898044416,2865228
SHY,2026-04-08,24748150784,5422155
TLT,2026-04-08,42618560512,41933755
LQD,2026-04-08,28883736576,41974713
HYG,2026-04-08,16378809344,53088233
BWX,2026-04-08,1499591552,1071910
EMB,2026-04-08,14120442880,11447508
BIZD,2026-04-08,1460942464,3845110
BKLN,2026-04-08,6260340224,24025846
USO,2026-04-08,2644515072,31090321
DBA,2026-04-08,1182587904,993833
GLD,2026-04-08,155110817792,19367775
