Ticker,Date,AUM_USD,AvgVolume
IWD,2026-06-05,75561271296,2845092
IWF,2026-06-05,132278181888,8362080
IWN,2026-06-05,13999538176,813569
EFA,2026-06-05,77424812032,18891471
SCZ,2026-06-05,14869699584,1751301
EEM,2026-06-05,30325661696,34846155
TIP,2026-06-05,15087474688,2412574
SHY,2026-06-05,25434476544,4589349
TLT,2026-06-05,42895949824,31047571
LQD,2026-06-05,29782712320,36311746
HYG,2026-06-05,16106322944,49741819
BWX,2026-06-05,1480568064,528917
EMB,2026-06-05,14162584576,9754512
BIZD,2026-06-05,1570142976,4044052
BKLN,2026-06-05,7154355712,14714577
USO,2026-06-05,1705716992,32364747
DBA,2026-06-05,1365882880,1815592
GLD,2026-06-05,150367518720,9311688
